date,time,slug,caption,status,posted_at
2026-09-01,08:30,lai-count-to-100,,posted,2026-09-01 10:59 JST
2026-09-01,12:00,lai-vlog-day,,hold,2026-09-01 17:29 JST
2026-09-03,08:30,lai-texture,,posted,2026-09-02 10:16 JST
2026-09-05,08:30,lai-vlog-day2,,posted,2026-09-04 10:12 JST
2026-09-07,08:30,lai-note-doko,,posted,2026-09-06 10:16 JST
2026-09-09,08:30,lai-iku,,posted,2026-09-08 10:21 JST
2026-09-09,08:30,lai-quiz-konbini,,posted,2026-09-10 10:21 JST
2026-09-11,08:30,lai-grammar-kudasai,,hold,
2026-09-13,08:30,lai-food-onomatopoeia,,posted,2026-09-12 10:25 JST
2026-09-15,08:30,lai-app-intro,,posted,2026-09-14 10:26 JST
2026-09-17,08:30,lai-slang,,posted,2026-09-16 10:35 JST
2026-09-19,08:30,lai-sumimasen,,posted,2026-09-18 10:25 JST
2026-09-21,08:30,lai-daijoubu,,posted,2026-09-20 10:28 JST
2026-09-23,08:30,lai-hai,,,
2026-09-25,08:30,lai-entering-shop,,,
2026-09-27,08:30,lai-at-the-till,,,
2026-09-29,08:30,lai-pharmacy,,,
2026-09-30,08:30,lai-train-announcement,,,
